Ord,title,url,research
0,Erdős’s discrepancy problem,http://gowers.wordpress.com/2009/12/17/erdoss-discrepancy-problem/,False
1,Erdős’s discrepancy problem as a forthcoming Polymath project,http://gowers.wordpress.com/2010/01/06/erdss-discrepancy-problem-as-a-forthcoming-polymath-project/,False
2,"Erdős discrepancy problem, continued",http://gowers.wordpress.com/2010/01/09/erds-discrepancy-problem-continued/,False
3,The Erdős discrepancy problem III,http://gowers.wordpress.com/2010/01/11/the-erds-discrepancy-problem-iii/,False
4,The Erdős discrepancy problem IV,http://gowers.wordpress.com/2010/01/14/the-erds-discrepancy-problem-iv/,False
5,The Erdős discrepancy problem V,http://gowers.wordpress.com/2010/01/16/the-erds-discrepancy-problem-v/,False
6,EDP1 — the official start of Polymath5,http://gowers.wordpress.com/2010/01/19/edp1-the-official-start-of-polymath5/,True
7,EDP2 — a few lessons from EDP1,http://gowers.wordpress.com/2010/01/21/edp2-a-few-lessons-from-edp1/,True
8,EDP3 — a very brief report on where we are,http://gowers.wordpress.com/2010/01/26/edp3-a-very-brief-report-on-where-we-are/,True
9,EDP4 — focusing on multiplicative functions,http://gowers.wordpress.com/2010/01/30/edp4-focusing-on-multiplicative-functions/,True
10,EDP5 — another very brief summary,http://gowers.wordpress.com/2010/02/02/edp5-another-very-brief-summary/,True
11,EDP6 — what are the chances of success?,http://gowers.wordpress.com/2010/02/05/edp6-what-are-the-chances-of-success/,True
12,EDP7 — emergency post,http://gowers.wordpress.com/2010/02/08/edp7-emergency-post/,True
13,EDP8 — what next?,http://gowers.wordpress.com/2010/02/19/edp8-what-next/,True
14,EDP9 — a change of focus,http://gowers.wordpress.com/2010/02/24/edp9-a-change-of-focus/,True
15,EDP10 — a new and very promising approach,http://gowers.wordpress.com/2010/03/02/edp10-a-new-and-very-promising-approach/,True
16,EDP11 — the search continues,http://gowers.wordpress.com/2010/03/07/edp11-the-search-continues/,True
17,EDP12 — representing diagonal maps,http://gowers.wordpress.com/2010/03/13/edp12-representing-diagonal-maps/,True
18,EDP13 — quick summary,http://gowers.wordpress.com/2010/03/23/edp13-quick-summary/,True
19,EDP14 — strategic questions,http://gowers.wordpress.com/2010/04/25/edp14-strategic-questions/,True
20,EDP15 — finding a diagonal matrix,http://gowers.wordpress.com/2010/06/21/edp15-finding-a-diagonal-matrix/,True
21,EDP16 — from AP-discrepancy to HAP-discrepancy?,http://gowers.wordpress.com/2010/07/04/edp16-from-ap-discrepancy-to-hap-discrepancy/,True
22,EDP17 — are we nearly there?,http://gowers.wordpress.com/2010/07/18/edp17-are-we-nearly-there/,True
23,EDP18 — apparently P does not equal NP,http://gowers.wordpress.com/2010/09/03/edp18-apparently-p-does-not-equal-np/,True
24,EDP19 — removing some vagueness,http://gowers.wordpress.com/2010/09/06/edp19-removing-some-vagueness/,True
25,EDP20 — squares and fly traps,http://gowers.wordpress.com/2010/09/10/edp20-squares-and-fly-traps/,True
26,EDP21 — restrictions on possible proofs,http://gowers.wordpress.com/2010/09/21/edp21-restrictions-on-possible-proofs/,True
27,EDP: a possible revival,http://gowers.wordpress.com/2012/08/22/edp-a-possible-revival/,False
28,EDP22 — first guest post by Gil Kalai,http://gowers.wordpress.com/2012/08/22/edp22-first-guest-post-from-gil-kalai/,True
29,EDP23 — second guest post by Gil Kalai,http://gowers.wordpress.com/2012/08/27/edp23-second-guest-post-by-gil-kalai/,True
30,EDP24 — an attempt to get back into the diagonal-decomposition approach,http://gowers.wordpress.com/2012/08/31/edp24-an-attempt-to-get-back-into-the-diagonal-decomposition-approach/,True
31,EDP25 — third guest post by Gil Kalai,http://gowers.wordpress.com/2012/09/04/edp25-third-guest-post-by-gil-kalai/,True
32,EDP26 — three generalizations,http://gowers.wordpress.com/2012/09/06/edp26-three-generalizations/,True
33,EDP27 — the modular version of Roth’s AP-discrepancy theorem,http://gowers.wordpress.com/2012/09/19/edp27-the-modular-version-of-roths-ap-discrepancy-theorem/,True
