,color,word counts,level 1,level 2,level 3,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster page rank
Anonymous,25,60.0,0.0,1.0,0.0,['comment-22502'],"{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 8)}",1.0,"[datetime.datetime(2015, 11, 18, 9, 7)]",2015-11-18 09:07:00,2015-11-18 09:07:00,0.0,1.0,1.0,1.0,0.06060606060606061,6.224727565694576e-13,0.0,0.030303030303030304,0.10082655061577837,0.04657317158839105,0.030303030303030304,0.030303030303030304,0.09090909090909091,0.04675079945299925,0.0,0.4319465844889574,0.01628187191941808
Anurag Bishnoi,3,384.0,0.0,1.0,6.0,"['comment-23481', 'comment-23495', 'comment-23741', 'comment-23742', 'comment-23786', 'comment-24653', 'comment-24654']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 17), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 10), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 8)}",7.0,"[datetime.datetime(2016, 1, 13, 4, 54), datetime.datetime(2016, 1, 13, 16, 14), datetime.datetime(2016, 2, 2, 2, 28), datetime.datetime(2016, 2, 2, 2, 38), datetime.datetime(2016, 2, 5, 13, 11), datetime.datetime(2016, 5, 22, 2, 39), datetime.datetime(2016, 5, 22, 2, 42)]",2016-01-13 04:54:00,2016-05-22 02:42:00,10.588235294117647,13.0,7.0,12.0,0.12121212121212122,6.224727565694576e-13,0.0,0.29146005509641876,0.10082655061577837,0.00975671476852194,0.030303030303030304,0.09090909090909091,0.09090909090909091,0.06370951997950611,0.0,0.44710260499734183,0.015951973031172732
Benoît R. Kloeckner,20,54.0,1.0,0.0,0.0,['comment-22205'],"{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2015, 11, 3, 17, 31)]",2015-11-03 17:31:00,2015-11-03 17:31:00,21.176470588235293,0.0,0.0,0.0,0.030303030303030304,0.08411418538905148,0.0,0.0,0.1334605112303168,0.01573117985715964,0.030303030303030304,0.0,0.30303030303030304,0.2259007276083888,0.0,0.5309343434343434,0.03630968476265884
Boris Bukh,32,420.0,1.0,2.0,1.0,"['comment-24616', 'comment-24617', 'comment-24619', 'comment-24621']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 19), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 13), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 7)}",4.0,"[datetime.datetime(2016, 5, 18, 21, 53), datetime.datetime(2016, 5, 18, 21, 56), datetime.datetime(2016, 5, 18, 23, 5), datetime.datetime(2016, 5, 19, 0, 58)]",2016-05-18 21:53:00,2016-05-19 00:58:00,31.764705882352942,4.0,3.0,3.0,0.15151515151515152,0.16894298032806845,0.002683080808080808,0.2222222222222222,0.17202356768047333,0.0380667978128757,0.09090909090909091,0.06060606060606061,0.0,0.0,0.0,0.0,0.004901960784313972
Christian Elsholtz,24,51.0,0.0,1.0,0.0,['comment-22247'],"{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2015, 11, 4, 19, 5)]",2015-11-04 19:05:00,2015-11-04 19:05:00,42.35294117647059,1.0,1.0,1.0,0.06060606060606061,0.08411418538905148,0.0,0.3120567375886525,0.1334605112303168,0.01573117985715964,0.030303030303030304,0.030303030303030304,0.30303030303030304,0.2259007276083889,0.0,0.5309343434343434,0.03630968476265884
Craig Helfgott,23,117.0,0.0,0.0,1.0,['comment-22285'],"{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 2)}",1.0,"[datetime.datetime(2015, 11, 5, 21, 16)]",2015-11-05 21:16:00,2015-11-05 21:16:00,52.94117647058823,2.0,1.0,2.0,0.030303030303030304,0.0,0.0,0.32714904143475576,0.09074389555420054,0.006992294077085216,0.0,0.030303030303030304,0.15151515151515152,0.12238969727706829,0.0,0.4808461978273299,0.021436285994149925
Dömötör Pálvölgyi,7,3419.0,8.0,18.0,30.0,"['comment-22220', 'comment-22227', 'comment-22228', 'comment-22232', 'comment-22261', 'comment-22264', 'comment-22296', 'comment-22341', 'comment-22362', 'comment-22376', 'comment-22430', 'comment-22475', 'comment-22631', 'comment-22702', 'comment-22740', 'comment-22743', 'comment-22753', 'comment-22830', 'comment-22831', 'comment-22835', 'comment-22862', 'comment-22886', 'comment-22887', 'comment-22891', 'comment-22898', 'comment-22915', 'comment-22916', 'comment-22971', 'comment-22972', 'comment-22980', 'comment-23007', 'comment-23032', 'comment-23058', 'comment-23073', 'comment-23094', 'comment-23176', 'comment-23193', 'comment-23401', 'comment-23537', 'comment-23578', 'comment-23656', 'comment-23674', 'comment-23681', 'comment-23687', 'comment-23719', 'comment-23740', 'comment-23747', 'comment-23760', 'comment-23762', 'comment-23775', 'comment-23779', 'comment-23789', 'comment-23880', 'comment-24633', 'comment-24634', 'comment-24696']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 25), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 18), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 11), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 18), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 21), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 15), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 13), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 14), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 16), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/01/31/polymath10-post-4-back-to-the-drawing-board/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 17), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/27/polymath-10-post-6-the-erdos-rado-sunflower-conjecture-and-the-turan-43-problem-homological-approaches/', params='', query='', fragment=''), None), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 5)}",56.0,"[datetime.datetime(2015, 11, 4, 1, 53), datetime.datetime(2015, 11, 4, 12, 15), datetime.datetime(2015, 11, 4, 12, 31), datetime.datetime(2015, 11, 4, 12, 52), datetime.datetime(2015, 11, 5, 0, 38), datetime.datetime(2015, 11, 5, 1, 20), datetime.datetime(2015, 11, 6, 12, 47), datetime.datetime(2015, 11, 9, 1, 49), datetime.datetime(2015, 11, 10, 13, 26), datetime.datetime(2015, 11, 11, 1, 11), datetime.datetime(2015, 11, 13, 6, 57), datetime.datetime(2015, 11, 17, 3, 39), datetime.datetime(2015, 11, 24, 0, 30), datetime.datetime(2015, 11, 26, 11, 3), datetime.datetime(2015, 11, 28, 0, 40), datetime.datetime(2015, 11, 28, 4, 6), datetime.datetime(2015, 11, 28, 12, 19), datetime.datetime(2015, 12, 3, 5, 18), datetime.datetime(2015, 12, 3, 5, 20), datetime.datetime(2015, 12, 3, 9, 48), datetime.datetime(2015, 12, 4, 18, 38), datetime.datetime(2015, 12, 5, 21, 22), datetime.datetime(2015, 12, 5, 21, 25), datetime.datetime(2015, 12, 5, 23, 42), datetime.datetime(2015, 12, 6, 6, 5), datetime.datetime(2015, 12, 7, 1, 4), datetime.datetime(2015, 12, 7, 1, 8), datetime.datetime(2015, 12, 9, 17, 24), datetime.datetime(2015, 12, 9, 17, 36), datetime.datetime(2015, 12, 10, 1, 14), datetime.datetime(2015, 12, 11, 18, 37), datetime.datetime(2015, 12, 14, 1, 50), datetime.datetime(2015, 12, 16, 14, 31), datetime.datetime(2015, 12, 17, 19, 17), datetime.datetime(2015, 12, 18, 21, 5), datetime.datetime(2015, 12, 23, 0, 37), datetime.datetime(2015, 12, 23, 17, 53), datetime.datetime(2016, 1, 8, 1, 17), datetime.datetime(2016, 1, 16, 18, 41), datetime.datetime(2016, 1, 19, 17, 11), datetime.datetime(2016, 1, 23, 20, 41), datetime.datetime(2016, 1, 25, 0, 14), datetime.datetime(2016, 1, 25, 12, 44), datetime.datetime(2016, 1, 25, 17, 58), datetime.datetime(2016, 1, 31, 17, 38), datetime.datetime(2016, 2, 2, 1, 23), datetime.datetime(2016, 2, 2, 10, 55), datetime.datetime(2016, 2, 2, 23, 59), datetime.datetime(2016, 2, 3, 1, 13), datetime.datetime(2016, 2, 4, 10, 41), datetime.datetime(2016, 2, 4, 23, 20), datetime.datetime(2016, 2, 5, 19, 17), datetime.datetime(2016, 2, 18, 16, 43), datetime.datetime(2016, 5, 20, 0, 34), datetime.datetime(2016, 5, 20, 0, 37), datetime.datetime(2016, 5, 27, 22, 9)]",2015-11-04 01:53:00,2016-05-27 22:09:00,63.529411764705884,78.0,48.0,51.0,0.5757575757575758,0.3859673630249218,0.05397727272727273,0.419047619047619,0.3035461684919379,0.06893741778216254,0.2727272727272727,0.30303030303030304,0.696969696969697,0.3383165228334464,0.1139520202020202,0.7281385281385282,0.08603116340994038
Eran Nevo,16,649.0,3.0,1.0,0.0,"['comment-22251', 'comment-23303', 'comment-23810', 'comment-23812']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/01/31/polymath10-post-4-back-to-the-drawing-board/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 4)}",4.0,"[datetime.datetime(2015, 11, 4, 20, 7), datetime.datetime(2016, 1, 2, 10, 28), datetime.datetime(2016, 2, 8, 21, 46), datetime.datetime(2016, 2, 9, 1, 5)]",2015-11-04 20:07:00,2016-02-09 01:05:00,74.11764705882352,1.0,1.0,1.0,0.06060606060606061,0.08411418538905148,0.0,0.3120567375886525,0.1334605112303168,0.01573117985715964,0.030303030303030304,0.030303030303030304,0.30303030303030304,0.2259007276083889,0.0,0.5309343434343434,0.03630968476265884
Ferdinand Ihringer,10,2525.0,4.0,5.0,15.0,"['comment-23011', 'comment-23018', 'comment-23070', 'comment-23071', 'comment-23075', 'comment-23081', 'comment-23100', 'comment-23410', 'comment-23476', 'comment-23550', 'comment-23576', 'comment-23653', 'comment-23670', 'comment-23672', 'comment-23675', 'comment-23684', 'comment-23743', 'comment-23767', 'comment-23768', 'comment-23778', 'comment-23885', 'comment-23889', 'comment-24627', 'comment-24635']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 22), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 20), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 21), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 14), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 10), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 17), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/01/31/polymath10-post-4-back-to-the-drawing-board/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 16), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 11), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/01/31/polymath10-post-4-back-to-the-drawing-board/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/12/08/polymath-10-post-3-how-are-we-doing/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2016/05/17/polymath-10-emergency-post-5-the-erdos-szemeredi-sunflower-conjecture-is-now-proven/', params='', query='', fragment=''), 23)}",24.0,"[datetime.datetime(2015, 12, 11, 21, 45), datetime.datetime(2015, 12, 12, 20, 0), datetime.datetime(2015, 12, 17, 15, 57), datetime.datetime(2015, 12, 17, 16, 51), datetime.datetime(2015, 12, 17, 20, 56), datetime.datetime(2015, 12, 18, 2, 42), datetime.datetime(2015, 12, 19, 0, 31), datetime.datetime(2016, 1, 8, 15, 6), datetime.datetime(2016, 1, 12, 18, 51), datetime.datetime(2016, 1, 17, 23, 58), datetime.datetime(2016, 1, 19, 15, 22), datetime.datetime(2016, 1, 23, 15, 35), datetime.datetime(2016, 1, 24, 20, 58), datetime.datetime(2016, 1, 24, 23, 10), datetime.datetime(2016, 1, 25, 2, 22), datetime.datetime(2016, 1, 25, 16, 6), datetime.datetime(2016, 2, 2, 3, 17), datetime.datetime(2016, 2, 3, 14, 12), datetime.datetime(2016, 2, 3, 14, 14), datetime.datetime(2016, 2, 4, 16, 21), datetime.datetime(2016, 2, 18, 20, 18), datetime.datetime(2016, 2, 20, 17, 19), datetime.datetime(2016, 5, 19, 19, 10), datetime.datetime(2016, 5, 20, 2, 11)]",2015-12-11 21:45:00,2016-05-20 02:11:00,84.70588235294117,35.0,20.0,26.0,0.21212121212121213,0.1802397012478362,0.0,0.34108527131782945,0.18201676286672872,0.0274172311813705,0.09090909090909091,0.12121212121212122,0.09090909090909091,0.06370951997950611,0.0,0.44710260499734183,0.015951973031172732
GFP,21,604.0,1.0,0.0,2.0,"['comment-22618', 'comment-22690', 'comment-22705']","{(ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/11/polymath10-post-2-homological-approach/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gilkalai.wordpress.com', path='/2015/11/03/polymath10-the-erdos-rado-delta-system-conjecture', params='', query='', fragment=''), 12)}",3.0,"[datetime.datetime(2015, 11, 23, 16, 20), datetime.datetime(2015, 11, 25, 22, 42), datetime.datetime(2015, 11, 26, 14, 26)]",2015-11-23 16:20:00,2015-11-26 14:26:00,95.29411764705883,4.0,2.0,3.0,0.15151515151515152,0.22437548615474226,0.0,0.28205128205128205,0.19753783897102054,0.03062697446555893,0.09090909090909091,0.06060606060606061,0.12121212121212122,0.10118718859334429,0.0,0.47194163860830535,0.018198956244398445
