,color,word counts,level 1,level 2,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster page rank
Alec Edgington,12,7439.0,10.0,61.0,"['comment-153685', 'comment-153709', 'comment-153710', 'comment-153754', 'comment-153819', 'comment-153821', 'comment-153858', 'comment-153860', 'comment-153863', 'comment-153885', 'comment-153889', 'comment-153932', 'comment-153935', 'comment-153937', 'comment-153945', 'comment-153949', 'comment-153990', 'comment-153995', 'comment-154052', 'comment-154055', 'comment-154072', 'comment-154075', 'comment-154111', 'comment-154152', 'comment-154186', 'comment-154188', 'comment-154205', 'comment-154208', 'comment-154338', 'comment-154352', 'comment-154375', 'comment-154377', 'comment-154401', 'comment-154406', 'comment-154407', 'comment-154441', 'comment-154465', 'comment-154533', 'comment-154559', 'comment-154562', 'comment-154579', 'comment-154607', 'comment-154609', 'comment-154610', 'comment-154611', 'comment-154614', 'comment-154627', 'comment-154646', 'comment-154650', 'comment-154672', 'comment-154673', 'comment-154685', 'comment-154689', 'comment-154711', 'comment-154720', 'comment-154721', 'comment-154741', 'comment-154744', 'comment-154763', 'comment-154764', 'comment-154765', 'comment-154766', 'comment-154767', 'comment-154771', 'comment-154776', 'comment-154862', 'comment-154864', 'comment-155104', 'comment-155229', 'comment-155237', 'comment-155283']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/08/func2-more-examples/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/22/func4-further-variants/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 10), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 16), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/22/func4-further-variants/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 5), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/08/func2-more-examples/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 5), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 9), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/22/func4-further-variants/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/08/func2-more-examples/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/08/func2-more-examples/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 2)}",71.0,"[datetime.datetime(2016, 1, 22, 20, 47), datetime.datetime(2016, 1, 23, 11, 29), datetime.datetime(2016, 1, 23, 11, 47), datetime.datetime(2016, 1, 24, 16, 40), datetime.datetime(2016, 1, 26, 8, 17), datetime.datetime(2016, 1, 26, 9, 11), datetime.datetime(2016, 1, 26, 20, 29), datetime.datetime(2016, 1, 26, 21, 21), datetime.datetime(2016, 1, 26, 21, 53), datetime.datetime(2016, 1, 27, 9, 53), datetime.datetime(2016, 1, 27, 11, 28), datetime.datetime(2016, 1, 28, 21, 18), datetime.datetime(2016, 1, 28, 21, 25), datetime.datetime(2016, 1, 28, 21, 29), datetime.datetime(2016, 1, 29, 8, 29), datetime.datetime(2016, 1, 29, 9, 36), datetime.datetime(2016, 1, 30, 11, 34), datetime.datetime(2016, 1, 30, 17, 15), datetime.datetime(2016, 2, 1, 8, 57), datetime.datetime(2016, 2, 1, 10, 13), datetime.datetime(2016, 2, 1, 20, 46), datetime.datetime(2016, 2, 2, 8, 11), datetime.datetime(2016, 2, 3, 11, 54), datetime.datetime(2016, 2, 4, 13, 0), datetime.datetime(2016, 2, 5, 14, 51), datetime.datetime(2016, 2, 5, 15, 21), datetime.datetime(2016, 2, 6, 8, 55), datetime.datetime(2016, 2, 6, 10, 39), datetime.datetime(2016, 2, 10, 14, 32), datetime.datetime(2016, 2, 10, 19, 35), datetime.datetime(2016, 2, 11, 9, 19), datetime.datetime(2016, 2, 11, 9, 44), datetime.datetime(2016, 2, 12, 8, 14), datetime.datetime(2016, 2, 12, 10, 18), datetime.datetime(2016, 2, 12, 10, 27), datetime.datetime(2016, 2, 13, 20, 10), datetime.datetime(2016, 2, 14, 13, 58), datetime.datetime(2016, 2, 16, 9, 2), datetime.datetime(2016, 2, 17, 10, 49), datetime.datetime(2016, 2, 17, 10, 57), datetime.datetime(2016, 2, 17, 21, 36), datetime.datetime(2016, 2, 18, 19, 10), datetime.datetime(2016, 2, 18, 21, 0), datetime.datetime(2016, 2, 18, 21, 18), datetime.datetime(2016, 2, 18, 21, 25), datetime.datetime(2016, 2, 18, 22, 12), datetime.datetime(2016, 2, 19, 8, 45), datetime.datetime(2016, 2, 19, 18, 5), datetime.datetime(2016, 2, 19, 18, 50), datetime.datetime(2016, 2, 20, 11, 57), datetime.datetime(2016, 2, 20, 12, 21), datetime.datetime(2016, 2, 20, 20, 3), datetime.datetime(2016, 2, 20, 20, 57), datetime.datetime(2016, 2, 21, 8, 27), datetime.datetime(2016, 2, 21, 17, 15), datetime.datetime(2016, 2, 21, 17, 30), datetime.datetime(2016, 2, 22, 9, 58), datetime.datetime(2016, 2, 22, 13, 35), datetime.datetime(2016, 2, 23, 10, 4), datetime.datetime(2016, 2, 23, 10, 11), datetime.datetime(2016, 2, 23, 10, 21), datetime.datetime(2016, 2, 23, 11, 5), datetime.datetime(2016, 2, 23, 11, 25), datetime.datetime(2016, 2, 23, 11, 53), datetime.datetime(2016, 2, 23, 18, 11), datetime.datetime(2016, 2, 26, 10, 53), datetime.datetime(2016, 2, 26, 11, 10), datetime.datetime(2016, 3, 3, 8, 20), datetime.datetime(2016, 3, 7, 11, 38), datetime.datetime(2016, 3, 7, 15, 16), datetime.datetime(2016, 3, 9, 8, 56)]",2016-01-22 20:47:00,2016-03-09 08:56:00,0.0,61.0,61.0,38.0,0.6046511627906976,0.404437513405244,0.0739294942783315,0.39914570479354533,0.3126993326278361,0.0473975009399296,0.27906976744186046,0.32558139534883723,0.8372093023255813,0.31981663893373574,0.16062200073827979,0.8498483316481295,0.07237432526227366
André,27,200.0,1.0,1.0,"['comment-154187', 'comment-154189']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 1)}",2.0,"[datetime.datetime(2016, 2, 5, 15, 6), datetime.datetime(2016, 2, 5, 16, 6)]",2016-02-05 15:06:00,2016-02-05 16:06:00,8.181818181818182,1.0,1.0,1.0,0.023255813953488372,0.0,0.0,0.26493965263467767,0.0842343917994405,0.005895125957573023,0.0,0.023255813953488372,0.16279069767441862,0.10388540116377283,0.0,0.5212403100775194,0.01580942042803816
Anonymous,2,142.0,0.0,2.0,"['comment-153873', 'comment-154047']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 6)}",2.0,"[datetime.datetime(2016, 1, 27, 4, 24), datetime.datetime(2016, 2, 1, 8, 5)]",2016-01-27 04:24:00,2016-02-01 08:05:00,16.363636363636363,2.0,2.0,2.0,0.046511627906976744,0.0,0.0,0.23784355179704017,0.0842343917994405,0.005895125957573023,0.0,0.046511627906976744,0.18604651162790697,0.12277779615342348,0.00015820281601012498,0.52828409805154,0.017463586571826815
Ben Barber,30,1421.0,1.0,2.0,"['comment-154329', 'comment-154334', 'comment-154336']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/08/func2-more-examples/', params='', query='', fragment=''), 2)}",3.0,"[datetime.datetime(2016, 2, 10, 13, 15), datetime.datetime(2016, 2, 10, 14, 9), datetime.datetime(2016, 2, 10, 14, 22)]",2016-02-10 13:15:00,2016-02-10 14:22:00,24.545454545454547,2.0,2.0,0.0,0.11627906976744186,0.1269706608039409,0.0,0.0,0.15787173791076375,0.06348347251999563,0.09302325581395349,0.023255813953488372,0.09302325581395349,0.07425211896832577,0.0,0.5011926058437687,0.010467113290078732
Brendan Murphy,22,3310.0,3.0,16.0,"['comment-154033', 'comment-154472', 'comment-154585', 'comment-154589', 'comment-154638', 'comment-154665', 'comment-154680', 'comment-154681', 'comment-154682', 'comment-154686', 'comment-154693', 'comment-154726', 'comment-154727', 'comment-154750', 'comment-154806', 'comment-154817', 'comment-154819', 'comment-154903', 'comment-154912']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/22/func4-further-variants/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 14)}",19.0,"[datetime.datetime(2016, 1, 31, 16, 20), datetime.datetime(2016, 2, 14, 17, 28), datetime.datetime(2016, 2, 18, 3, 29), datetime.datetime(2016, 2, 18, 5, 27), datetime.datetime(2016, 2, 19, 15, 46), datetime.datetime(2016, 2, 20, 6, 0), datetime.datetime(2016, 2, 20, 16, 32), datetime.datetime(2016, 2, 20, 16, 49), datetime.datetime(2016, 2, 20, 16, 54), datetime.datetime(2016, 2, 20, 20, 41), datetime.datetime(2016, 2, 20, 23, 41), datetime.datetime(2016, 2, 21, 18, 57), datetime.datetime(2016, 2, 21, 19, 0), datetime.datetime(2016, 2, 22, 16, 3), datetime.datetime(2016, 2, 24, 13, 9), datetime.datetime(2016, 2, 24, 20, 47), datetime.datetime(2016, 2, 24, 20, 51), datetime.datetime(2016, 2, 27, 13, 47), datetime.datetime(2016, 2, 27, 18, 57)]",2016-01-31 16:20:00,2016-02-27 18:57:00,32.72727272727273,16.0,16.0,10.0,0.20930232558139533,0.12360574322274676,0.010852713178294572,0.3372093023255814,0.15925087437471422,0.012479965348857886,0.09302325581395349,0.11627906976744186,0.37209302325581395,0.20862263116485008,0.005225966355534461,0.5923185341789993,0.03137483790949111
Bruce Smith,6,2607.0,3.0,8.0,"['comment-153706', 'comment-153707', 'comment-153708', 'comment-153726', 'comment-153727', 'comment-153728', 'comment-153729', 'comment-153730', 'comment-153731', 'comment-153732', 'comment-153928']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 4)}",11.0,"[datetime.datetime(2016, 1, 23, 10, 52), datetime.datetime(2016, 1, 23, 10, 55), datetime.datetime(2016, 1, 23, 11, 2), datetime.datetime(2016, 1, 23, 22, 4), datetime.datetime(2016, 1, 23, 22, 54), datetime.datetime(2016, 1, 23, 23, 0), datetime.datetime(2016, 1, 23, 23, 2), datetime.datetime(2016, 1, 23, 23, 12), datetime.datetime(2016, 1, 23, 23, 17), datetime.datetime(2016, 1, 23, 23, 50), datetime.datetime(2016, 1, 28, 17, 45)]",2016-01-23 10:52:00,2016-01-28 17:45:00,40.90909090909091,8.0,8.0,1.0,0.11627906976744186,0.1701113117756012,0.0,0.17308088083967896,0.16170331049036052,0.018813477291673753,0.06976744186046512,0.046511627906976744,0.13953488372093023,0.07078649889293682,0.0011074197120708746,0.5077016007248565,0.015336186358890851
Casey Tompkins,0,62.0,1.0,0.0,['comment-153630'],"{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 5)}",1.0,"[datetime.datetime(2016, 1, 21, 21, 36)]",2016-01-21 21:36:00,2016-01-21 21:36:00,49.09090909090909,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.09265783097938457,0.008400582805435241,0.023255813953488372,0.0,0.11627906976744186,0.047951997989648665,0.0,0.4948483956432146,0.013571240931434452
David Bevan,14,214.0,1.0,1.0,"['comment-153615', 'comment-153947']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 7), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/21/frankls-union-closed-conjecture-a-possible-polymath-project/', params='', query='', fragment=''), 5)}",2.0,"[datetime.datetime(2016, 1, 21, 13, 48), datetime.datetime(2016, 1, 29, 9, 6)]",2016-01-21 13:48:00,2016-01-29 09:06:00,57.27272727272727,1.0,1.0,1.0,0.046511627906976744,0.07191334219668012,0.0,0.023255813953488372,0.11426307919617314,0.007939623355077046,0.023255813953488372,0.023255813953488372,0.18604651162790697,0.07845259134135507,0.002768549280177187,0.5212403100775194,0.019502863897364414
David Roberts,25,42.0,0.0,1.0,['comment-153968'],"{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/01/29/func1-strengthenings-variants-potential-counterexamples/', params='', query='', fragment=''), 8)}",1.0,"[datetime.datetime(2016, 1, 29, 22, 3)]",2016-01-29 22:03:00,2016-01-29 22:03:00,65.45454545454545,1.0,1.0,1.0,0.023255813953488372,0.0,0.0,0.023255813953488372,0.0842343917994405,0.005895125957573023,0.0,0.023255813953488372,0.06976744186046512,0.04177504878936967,0.0,0.4948483956432146,0.009883616219907722
Domink,34,567.0,1.0,3.0,"['comment-154631', 'comment-154640', 'comment-154643', 'comment-155112']","{(ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/22/func4-further-variants/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='gowers.wordpress.com', path='/2016/02/13/func3-further-strengthenings-and-variants/', params='', query='', fragment=''), 1)}",4.0,"[datetime.datetime(2016, 2, 19, 12, 23), datetime.datetime(2016, 2, 19, 16, 32), datetime.datetime(2016, 2, 19, 17, 23), datetime.datetime(2016, 3, 3, 14, 4)]",2016-02-19 12:23:00,2016-03-03 14:04:00,73.63636363636364,3.0,3.0,3.0,0.13953488372093023,0.2090772099823398,0.00036913990402362494,0.25734394124847004,0.18483136407426023,0.014813783679482204,0.09302325581395349,0.046511627906976744,0.20930232558139533,0.1377298061351698,0.00013842746400885935,0.5355208665179993,0.019061823049347608
