,color,word counts,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster page rank
Andreas,10,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115453'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 5)}",1.0,"[datetime.datetime(2017, 4, 27, 13, 3)]",2017-04-27 13:03:00,2017-04-27 13:03:00,0.0,0.0,0.0,0.0,0.037037037037037035,0.07591683940023071,0.0,0.0,0.15756557932721876,0.018912813800524838,0.037037037037037035,0.0,0.037037037037037035,0.016273093339675332,0.0,0.4576271186440678,0.007801039987872441
Anonymous,3,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115106'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2017, 2, 27, 7, 28)]",2017-02-27 07:28:00,2017-02-27 07:28:00,12.857142857142858,0.0,0.0,0.0,0.07407407407407407,0.12185777272756292,0.0,0.0,0.17806219918302654,0.023146793009453603,0.07407407407407407,0.0,0.5185185185185185,0.21142514704334336,0.0,0.675,0.037897799735471374
David Eppstein,20,205.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115061', 'comment-115104']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",2.0,"[datetime.datetime(2017, 2, 24, 16, 50), datetime.datetime(2017, 2, 27, 1, 50)]",2017-02-24 16:50:00,2017-02-27 01:50:00,25.714285714285715,3.0,2.0,3.0,0.1111111111111111,0.10029926628752561,0.0,0.4183006535947712,0.16187473050229848,0.016243305218346677,0.037037037037037035,0.07407407407407407,0.6666666666666666,0.24938954621991333,0.009971509971509971,0.75,0.04760118292892303
David Glynn,18,885.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115184', 'comment-115199']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 2)}",2.0,"[datetime.datetime(2017, 3, 6, 2, 47), datetime.datetime(2017, 3, 7, 9, 33)]",2017-03-06 02:47:00,2017-03-07 09:33:00,38.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1317297751642961,0.012552203507655846,0.0,0.0,0.2962962962962963,0.0978257660413154,0.0034188034188034197,0.5869565217391305,0.0257826876822157
Dömötör Pálvölgyi,5,1154.0,2.0,6.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,"['comment-115055', 'comment-115065', 'comment-115067', 'comment-115068', 'comment-115074', 'comment-115088', 'comment-115180', 'comment-115187', 'comment-115215', 'comment-115223', 'comment-115307', 'comment-115315', 'comment-115332', 'comment-115359', 'comment-115376', 'comment-115391', 'comment-115421', 'comment-115425', 'comment-115434', 'comment-115443', 'comment-115445', 'comment-115447', 'comment-115455', 'comment-115605']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 5), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 5), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 14), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 6), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 11), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 10), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/05/05/rotas-basis-conjecture-polymath-12-post-3/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0)}",24.0,"[datetime.datetime(2017, 2, 24, 14, 37), datetime.datetime(2017, 2, 24, 19, 58), datetime.datetime(2017, 2, 24, 22, 11), datetime.datetime(2017, 2, 24, 22, 29), datetime.datetime(2017, 2, 25, 6, 47), datetime.datetime(2017, 2, 26, 12, 9), datetime.datetime(2017, 3, 5, 21, 1), datetime.datetime(2017, 3, 6, 5, 5), datetime.datetime(2017, 3, 9, 21, 6), datetime.datetime(2017, 3, 10, 9, 11), datetime.datetime(2017, 3, 29, 11, 25), datetime.datetime(2017, 3, 30, 7, 40), datetime.datetime(2017, 4, 1, 9, 12), datetime.datetime(2017, 4, 6, 19, 18), datetime.datetime(2017, 4, 8, 20, 45), datetime.datetime(2017, 4, 10, 21, 33), datetime.datetime(2017, 4, 19, 4, 29), datetime.datetime(2017, 4, 19, 7, 59), datetime.datetime(2017, 4, 20, 19, 36), datetime.datetime(2017, 4, 24, 19, 33), datetime.datetime(2017, 4, 25, 8, 48), datetime.datetime(2017, 4, 25, 18, 11), datetime.datetime(2017, 4, 27, 16, 12), datetime.datetime(2017, 5, 20, 20, 5)]",2017-02-24 14:37:00,2017-05-20 20:05:00,51.42857142857143,73.0,22.0,52.0,0.4444444444444444,0.35319411545528817,0.056742640075973405,0.5079365079365079,0.25835819549607386,0.05238066287398454,0.18518518518518517,0.25925925925925924,0.7777777777777777,0.2591317336712655,0.10873694207027539,0.8181818181818182,0.060380119366084235
Eli Berger,16,78.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"['comment-115084', 'comment-115211']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 6)}",2.0,"[datetime.datetime(2017, 2, 26, 0, 51), datetime.datetime(2017, 3, 8, 19, 28)]",2017-02-26 00:51:00,2017-03-08 19:28:00,64.28571428571429,6.0,2.0,5.0,0.14814814814814814,0.07591683940023071,0.03418803418803419,0.3440860215053763,0.1707385568436484,0.030642379580905876,0.07407407407407407,0.07407407407407407,0.4074074074074074,0.16062812651781164,0.0,0.627906976744186,0.031221520619419994
Fedor Petrov,2,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115102'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2017, 2, 26, 21, 48)]",2017-02-26 21:48:00,2017-02-26 21:48:00,77.14285714285714,0.0,0.0,0.0,0.037037037037037035,0.10029926628752561,0.0,0.0,0.16187473050229848,0.016243305218346677,0.037037037037037035,0.0,0.5185185185185185,0.21142514704334336,0.0,0.675,0.037897799735471374
Gil Kalai,8,2139.0,12.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,"['comment-115048', 'comment-115054', 'comment-115077', 'comment-115079', 'comment-115108', 'comment-115122', 'comment-115156', 'comment-115166', 'comment-115175', 'comment-115177', 'comment-115178', 'comment-115188', 'comment-115201', 'comment-115221', 'comment-115225', 'comment-115236', 'comment-115322', 'comment-115333', 'comment-115358', 'comment-115415', 'comment-115416', 'comment-115423', 'comment-115428', 'comment-115448', 'comment-115494', 'comment-115500', 'comment-115604']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 3), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/05/05/rotas-basis-conjecture-polymath-12-post-3/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 19), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 4), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 8), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/05/05/rotas-basis-conjecture-polymath-12-post-3/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/05/05/rotas-basis-conjecture-polymath-12-post-3/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 21)}",27.0,"[datetime.datetime(2017, 2, 24, 5, 45), datetime.datetime(2017, 2, 24, 13, 16), datetime.datetime(2017, 2, 25, 16, 21), datetime.datetime(2017, 2, 25, 18, 55), datetime.datetime(2017, 2, 27, 9, 6), datetime.datetime(2017, 2, 28, 10, 14), datetime.datetime(2017, 3, 2, 19, 10), datetime.datetime(2017, 3, 3, 6, 49), datetime.datetime(2017, 3, 4, 17, 5), datetime.datetime(2017, 3, 4, 21, 2), datetime.datetime(2017, 3, 4, 21, 9), datetime.datetime(2017, 3, 6, 6, 25), datetime.datetime(2017, 3, 7, 14, 0), datetime.datetime(2017, 3, 10, 8, 7), datetime.datetime(2017, 3, 11, 17, 1), datetime.datetime(2017, 3, 14, 8, 7), datetime.datetime(2017, 3, 31, 10, 36), datetime.datetime(2017, 4, 1, 20, 28), datetime.datetime(2017, 4, 6, 16, 22), datetime.datetime(2017, 4, 18, 20, 43), datetime.datetime(2017, 4, 18, 20, 50), datetime.datetime(2017, 4, 19, 6, 48), datetime.datetime(2017, 4, 19, 15, 20), datetime.datetime(2017, 4, 26, 12, 5), datetime.datetime(2017, 5, 6, 17, 54), datetime.datetime(2017, 5, 7, 4, 42), datetime.datetime(2017, 5, 20, 17, 18)]",2017-02-24 05:45:00,2017-05-20 17:18:00,90.0,41.0,15.0,24.0,0.5185185185185185,0.39425816356496496,0.11467236467236468,0.5203252032520325,0.27738021466434326,0.08783730379496314,0.2222222222222222,0.2962962962962963,0.8518518518518519,0.2727969879427274,0.0751187084520418,0.8709677419354839,0.06236024690737988
JSE,0,879.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"['comment-115063', 'comment-115072', 'comment-115073', 'comment-115081', 'comment-115092', 'comment-115093', 'comment-115099', 'comment-115179', 'comment-115196']","{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 1), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 2), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/02/23/rotas-basis-conjecture-polymath-12/', params='', query='', fragment=''), 0), (ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1)}",9.0,"[datetime.datetime(2017, 2, 24, 18, 39), datetime.datetime(2017, 2, 25, 5, 31), datetime.datetime(2017, 2, 25, 5, 33), datetime.datetime(2017, 2, 25, 23, 26), datetime.datetime(2017, 2, 26, 18, 30), datetime.datetime(2017, 2, 26, 18, 48), datetime.datetime(2017, 2, 26, 21, 39), datetime.datetime(2017, 3, 5, 17, 32), datetime.datetime(2017, 3, 7, 5, 4)]",2017-02-24 18:39:00,2017-03-07 05:04:00,102.85714285714286,10.0,5.0,3.0,0.25925925925925924,0.26767555527971093,0.034425451092117754,0.4183006535947712,0.22909886293495832,0.07652312368349466,0.14814814814814814,0.1111111111111111,0.8148148148148148,0.2697966292013638,0.0547008547008547,0.84375,0.05878894690456899
Jan Draisma,22,266.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,['comment-115202'],"{(ParseResult(scheme='https', netloc='polymathprojects.org', path='/2017/03/06/rotas-basis-conjecture-polymath-12-2/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2017, 3, 7, 15, 57)]",2017-03-07 15:57:00,2017-03-07 15:57:00,115.71428571428572,0.0,0.0,0.0,0.037037037037037035,0.07591683940023071,0.0,0.0,0.15756557932721876,0.019972915516003005,0.037037037037037035,0.0,0.25925925925925924,0.08251419929086824,0.0,0.5625,0.023254442743330214
