,color,word counts,level 1,level 2,level 3,level 4,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster page rank
Alexander Woo,83,113.0,1.0,0.0,0.0,0.0,['comment-3540'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 6)}",1.0,"[datetime.datetime(2009, 5, 25, 23, 22)]",2009-05-25 23:22:00,2009-05-25 23:22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.0,0.0,0.0,0.0,0.0016085790884719747
Amir,84,36.0,1.0,0.0,0.0,0.0,['comment-2963'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 2)}",1.0,"[datetime.datetime(2009, 3, 18, 21, 12)]",2009-03-18 21:12:00,2009-03-18 21:12:00,3.3962264150943398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.06666666666666668,0.023031177703447543,0.0,0.41433921883360086,0.005390837491344263
Andrea,33,228.0,1.0,0.0,0.0,0.0,['comment-1594'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/01/27/is-massively-collaborative-mathematics-possible/', params='', query='', fragment=''), 1)}",1.0,"[datetime.datetime(2009, 1, 27, 20, 24)]",2009-01-27 20:24:00,2009-01-27 20:24:00,6.7924528301886795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.06666666666666668,0.026248802575091466,0.0,0.41433921883360086,0.004932732668664174
Andrew Stacey,67,121.0,1.0,0.0,0.0,0.0,['comment-2797'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 3, 12, 9, 0)]",2009-03-12 09:00:00,2009-03-12 09:00:00,10.18867924528302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.3238095238095238,0.16067848629030512,0.0,0.49832689832689836,0.015089956809686954
Anonymous,61,1410.0,7.0,1.0,0.0,0.0,"['comment-2506', 'comment-2676', 'comment-2789', 'comment-2805', 'comment-2813', 'comment-37283', 'comment-43407', 'comment-899']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gilkalai.wordpress.com', path='/2009/03/25/an-open-discussion-and-polls-around-roths-theorem/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2010/01/15/density-hales-jewett-and-moser-numbers-nearing-the-final-draft', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/14/dhj3-1100-1199-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/23/brief-review-of-polymath1/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/problem-solved-probably/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/problem-solved-probably/', params='', query='', fragment=''), 20)}",8.0,"[datetime.datetime(2009, 3, 1, 19, 6), datetime.datetime(2009, 3, 10, 7, 20), datetime.datetime(2009, 3, 12, 5, 8), datetime.datetime(2009, 3, 12, 16, 46), datetime.datetime(2009, 3, 12, 18, 9), datetime.datetime(2009, 3, 24, 16, 23), datetime.datetime(2009, 4, 3, 15, 44), datetime.datetime(2010, 1, 28, 18, 41)]",2009-03-01 19:06:00,2010-01-28 18:41:00,13.584905660377359,1.0,1.0,1.0,0.028571428571428574,0.15939298578320302,0.0,0.0744047619047619,0.12251050116220881,0.011055232902888835,0.01904761904761905,0.009523809523809525,0.36190476190476195,0.16675942663922388,0.0035914884302893336,0.5157509157509158,0.017264355666485712
Beginner,31,191.0,2.0,0.0,0.0,0.0,"['comment-1741', 'comment-1745']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/01/27/is-massively-collaborative-mathematics-possible/', params='', query='', fragment=''), 0)}",2.0,"[datetime.datetime(2009, 2, 3, 12, 47), datetime.datetime(2009, 2, 3, 13, 48)]",2009-02-03 12:47:00,2009-02-03 13:48:00,16.9811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.05714285714285715,0.016129286110193555,0.0,0.376287657920311,0.005001714567434876
Ben Green,55,231.0,1.0,0.0,0.0,0.0,['comment-2184'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/13/dhj-possible-proof-strategies/', params='', query='', fragment='more-441/'), 4)}",1.0,"[datetime.datetime(2009, 2, 14, 1, 7)]",2009-02-14 01:07:00,2009-02-14 01:07:00,20.37735849056604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.028571428571428574,0.011900864918804332,0.0,0.3782173382173382,0.002999110494100898
Bogdan,1,60.0,1.0,0.0,0.0,0.0,['comment-1763'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/01/27/is-massively-collaborative-mathematics-possible/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 2, 3, 17, 26)]",2009-02-03 17:26:00,2009-02-03 17:26:00,23.77358490566038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.05714285714285715,0.01612928611019356,0.0,0.376287657920311,0.005001714567434875
Boris,35,2595.0,25.0,0.0,0.0,0.0,"['comment-1710', 'comment-1734', 'comment-1759', 'comment-1761', 'comment-1774', 'comment-1856', 'comment-1963', 'comment-1966', 'comment-2003', 'comment-2004', 'comment-2007', 'comment-2009', 'comment-2029', 'comment-2053', 'comment-2065', 'comment-2066', 'comment-2069', 'comment-2073', 'comment-2075', 'comment-2106', 'comment-2777', 'comment-35629', 'comment-35636', 'comment-35648', 'comment-874']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/06/dhj-the-triangle-removal-approach/', params='', query='', fragment=''), 6), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/08/dhj-quasirandomness-and-obstructions-to-uniformity', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gilkalai.wordpress.com', path='/2009/03/25/an-open-discussion-and-polls-around-roths-theorem/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/06/dhj-the-triangle-removal-approach/', params='', query='', fragment=''), 7), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/05/upper-and-lower-bounds-for-the-density-hales-jewett-problem/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 15), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 16), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 7), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/08/dhj-quasirandomness-and-obstructions-to-uniformity', params='', query='', fragment=''), 9), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/05/upper-and-lower-bounds-for-the-density-hales-jewett-problem/', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/08/dhj-quasirandomness-and-obstructions-to-uniformity', params='', query='', fragment=''), 6), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/06/dhj-the-triangle-removal-approach/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/08/dhj-quasirandomness-and-obstructions-to-uniformity', params='', query='', fragment=''), 7)}",25.0,"[datetime.datetime(2009, 2, 2, 20, 43), datetime.datetime(2009, 2, 3, 6, 14), datetime.datetime(2009, 2, 3, 16, 52), datetime.datetime(2009, 2, 3, 17, 3), datetime.datetime(2009, 2, 3, 19, 7), datetime.datetime(2009, 2, 5, 5, 46), datetime.datetime(2009, 2, 7, 23, 37), datetime.datetime(2009, 2, 8, 0, 17), datetime.datetime(2009, 2, 8, 19, 25), datetime.datetime(2009, 2, 8, 19, 30), datetime.datetime(2009, 2, 8, 20, 5), datetime.datetime(2009, 2, 8, 20, 23), datetime.datetime(2009, 2, 9, 1, 4), datetime.datetime(2009, 2, 9, 8, 13), datetime.datetime(2009, 2, 9, 8, 27), datetime.datetime(2009, 2, 9, 13, 44), datetime.datetime(2009, 2, 9, 17, 8), datetime.datetime(2009, 2, 9, 23, 0), datetime.datetime(2009, 2, 9, 23, 3), datetime.datetime(2009, 2, 9, 23, 27), datetime.datetime(2009, 2, 9, 23, 53), datetime.datetime(2009, 2, 10, 0, 15), datetime.datetime(2009, 2, 11, 5, 53), datetime.datetime(2009, 3, 11, 23, 11), datetime.datetime(2009, 3, 30, 3, 24)]",2009-02-02 20:43:00,2009-03-30 03:24:00,27.169811320754718,0.0,0.0,0.0,0.01904761904761905,0.13790881572643734,0.0,0.0,0.11852478660017639,0.01536265005095974,0.01904761904761905,0.0,0.4,0.1700144648659468,0.013076968174061874,0.5305926687221652,0.019825419979512336
Carrie Jenkins,88,79.0,1.0,0.0,0.0,0.0,['comment-2796'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 3, 12, 8, 21)]",2009-03-12 08:21:00,2009-03-12 08:21:00,30.566037735849058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.3238095238095238,0.16067848629030515,0.0,0.49832689832689836,0.015089956809686956
Carter,24,67.0,1.0,0.0,0.0,0.0,['comment-1633'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/01/27/is-massively-collaborative-mathematics-possible/', params='', query='', fragment=''), 8)}",1.0,"[datetime.datetime(2009, 1, 31, 17, 6)]",2009-01-31 17:06:00,2009-01-31 17:06:00,33.9622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.028571428571428574,0.00603244507887189,0.0,0.3724867724867725,0.003963335898086189
Carter Schonwald,76,87.0,1.0,0.0,0.0,0.0,['comment-2698'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 3, 10, 22, 54)]",2009-03-10 22:54:00,2009-03-10 22:54:00,37.35849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.3238095238095238,0.16067848629030512,0.0,0.49832689832689836,0.015089956809686956
Christian,105,232.0,2.0,0.0,0.0,0.0,"['comment-43345', 'comment-43403']","{(ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2010/01/15/density-hales-jewett-and-moser-numbers-nearing-the-final-draft', params='', query='', fragment=''), 17), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2010/01/15/density-hales-jewett-and-moser-numbers-nearing-the-final-draft', params='', query='', fragment=''), 25)}",2.0,"[datetime.datetime(2010, 1, 23, 9, 7), datetime.datetime(2010, 1, 28, 10, 14)]",2010-01-23 09:07:00,2010-01-28 10:14:00,40.75471698113208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07812483585736463,0.005462713952303914,0.0,0.0,0.0,0.0,0.0,0.0,0.0016085790884719747
Christian Elsholtz,42,2503.0,14.0,0.0,0.0,0.0,"['comment-1707', 'comment-35737', 'comment-36030', 'comment-36035', 'comment-36060', 'comment-36071', 'comment-36111', 'comment-36188', 'comment-36577', 'comment-36598', 'comment-36652', 'comment-36809', 'comment-39208', 'comment-4189']","{(ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/13/bounds-for-the-first-few-density-hales-jewett-numbers-and-related-quantities/', params='', query='', fragment=''), 6), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/14/dhj3-1100-1199-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/06/25/dhj-write-up-and-other-matters/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/13/bounds-for-the-first-few-density-hales-jewett-numbers-and-related-quantities/', params='', query='', fragment=''), 19), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/05/upper-and-lower-bounds-for-the-density-hales-jewett-problem/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/04/dhj3-900-999-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/05/22/dhj-writing-the-second-paper/', params='', query='', fragment=''), 13), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/04/dhj3-900-999-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 2), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/02/01/a-combinatorial-approach-to-density-hales-jewett/', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/13/bounds-for-the-first-few-density-hales-jewett-numbers-and-related-quantities/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/02/13/bounds-for-the-first-few-density-hales-jewett-numbers-and-related-quantities/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/04/dhj3-900-999-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 11)}",14.0,"[datetime.datetime(2009, 2, 2, 20, 27), datetime.datetime(2009, 2, 12, 13, 3), datetime.datetime(2009, 2, 20, 4, 41), datetime.datetime(2009, 2, 20, 8, 29), datetime.datetime(2009, 2, 21, 10, 21), datetime.datetime(2009, 2, 21, 13, 16), datetime.datetime(2009, 2, 23, 1, 52), datetime.datetime(2009, 2, 27, 7, 59), datetime.datetime(2009, 3, 11, 2, 35), datetime.datetime(2009, 3, 11, 14, 53), datetime.datetime(2009, 3, 13, 7, 11), datetime.datetime(2009, 3, 16, 14, 17), datetime.datetime(2009, 6, 5, 6, 47), datetime.datetime(2009, 10, 21, 9, 50)]",2009-02-02 20:27:00,2009-10-21 09:50:00,44.15094339622642,0.0,0.0,0.0,0.009523809523809525,0.08198065783730388,0.0,0.0,0.09977839711127974,0.008808150366807356,0.009523809523809525,0.0,0.17142857142857143,0.047803536679829915,0.002865039708335731,0.4338375350140056,0.010897240808625792
Colin Reid,68,160.0,0.0,1.0,0.0,0.0,['comment-2803'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 3, 12, 15, 23)]",2009-03-12 15:23:00,2009-03-12 15:23:00,47.54716981132076,1.0,1.0,1.0,0.009523809523809525,0.0,0.0,0.07756741250717154,0.07812483585736463,0.005462713952303914,0.0,0.009523809523809525,0.3238095238095238,0.16067848629030512,0.0,0.49832689832689836,0.015089956809686956
D. Eppstein,23,2730.0,14.0,0.0,0.0,0.0,"['comment-1591', 'comment-2714', 'comment-3722', 'comment-37674', 'comment-37684', 'comment-37744', 'comment-37750', 'comment-37754', 'comment-37755', 'comment-37925', 'comment-37930', 'comment-37938', 'comment-37973', 'comment-37975']","{(ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/30/dhjk-1200-1299-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 5), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/06/25/dhj-write-up-and-other-matters/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/30/dhjk-1200-1299-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/30/dhjk-1200-1299-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='terrytao.wordpress.com', path='/2009/03/30/dhjk-1200-1299-density-hales-jewett-type-numbers/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/01/27/is-massively-collaborative-mathematics-possible/', params='', query='', fragment=''), 1)}",14.0,"[datetime.datetime(2009, 1, 27, 18, 40), datetime.datetime(2009, 3, 11, 0, 56), datetime.datetime(2009, 3, 31, 13, 9), datetime.datetime(2009, 3, 31, 17, 7), datetime.datetime(2009, 4, 1, 11, 0), datetime.datetime(2009, 4, 1, 14, 1), datetime.datetime(2009, 4, 1, 15, 41), datetime.datetime(2009, 4, 1, 17, 21), datetime.datetime(2009, 4, 5, 13, 57), datetime.datetime(2009, 4, 5, 16, 32), datetime.datetime(2009, 4, 5, 16, 50), datetime.datetime(2009, 4, 6, 11, 27), datetime.datetime(2009, 4, 6, 11, 35), datetime.datetime(2009, 6, 25, 23, 26)]",2009-01-27 18:40:00,2009-06-25 23:26:00,50.943396226415096,0.0,0.0,0.0,0.009523809523809525,0.07947266821757094,0.0,0.0,0.1035498585404418,0.010332423646836453,0.009523809523809525,0.0,0.39047619047619053,0.1679982109229446,0.011084203384989432,0.5268027210884354,0.019271698894279262
Daniel Moskovich,70,351.0,1.0,0.0,0.0,0.0,['comment-2840'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2009/03/10/polymath1-and-open-collaborative-mathematics/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2009, 3, 13, 2, 44)]",2009-03-13 02:44:00,2009-03-13 02:44:00,54.339622641509436,0.0,0.0,0.0,0.009523809523809525,0.07741232794589913,0.0,0.0,0.10085693990829371,0.0077097964883853926,0.009523809523809525,0.0,0.3238095238095238,0.16067848629030512,0.0,0.49832689832689836,0.015089956809686956
