,color,word counts,level 1,level 2,level 3,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster Katz centrality,cluster page rank
Ben Green,5,370.0,2.0,0.0,0.0,"['comment-2799', 'comment-2800']","{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 0)}",2.0,"[datetime.datetime(2011, 2, 6, 16, 57), datetime.datetime(2011, 2, 6, 17, 2)]",2011-02-06 16:57:00,2011-02-06 17:02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2726578970276807,0.03533298304982064,0.0,0.0,0.2,0.10727637330313188,0.0,0.45714285714285713,0.23272580011039032,0.05577419375667937
David,6,30.0,1.0,0.0,0.0,['comment-10602'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2011, 2, 6, 0, 28)]",2011-02-06 00:28:00,2011-02-06 00:28:00,32.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2726578970276807,0.03533298304982064,0.0,0.0,0.5,0.3933752857962695,0.0,0.5818181818181819,0.3490886108772183,0.10021528825539319
Gil Kalai,8,371.0,1.0,2.0,0.0,"['comment-10610', 'comment-10618', 'comment-10646']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 2)}",3.0,"[datetime.datetime(2011, 2, 7, 5, 52), datetime.datetime(2011, 2, 9, 22, 14), datetime.datetime(2011, 2, 13, 22, 4)]",2011-02-07 05:52:00,2011-02-13 22:04:00,65.45454545454545,2.0,2.0,2.0,0.2,0.0,0.0,0.2,0.2726578970276807,0.03533298304982064,0.0,0.2,0.5,0.3933752857962695,0.0,0.5818181818181819,0.3490886108772183,0.10021528825539319
Klas Markström,7,38.0,0.0,1.0,0.0,['comment-10613'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2011, 2, 7, 20, 44)]",2011-02-07 20:44:00,2011-02-07 20:44:00,98.18181818181819,1.0,1.0,1.0,0.1,0.0,0.0,0.1,0.2726578970276807,0.03533298304982064,0.0,0.1,0.5,0.3933752857962695,0.0,0.5818181818181819,0.3490886108772183,0.10021528825539319
Nets Katz,2,151.0,1.0,0.0,1.0,"['comment-2803', 'comment-2805']","{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 2)}",2.0,"[datetime.datetime(2011, 2, 7, 2, 53), datetime.datetime(2011, 2, 7, 6, 13)]",2011-02-07 02:53:00,2011-02-07 06:13:00,130.9090909090909,2.0,1.0,1.0,0.2,6.367361301105928e-06,0.0,0.1,0.302953215890113,0.23553928016093648,0.1,0.1,0.1,4.279652479414547e-11,0.0,0.1,0.18712097948174877,0.09090909090909091
Olof Sisask,4,105.0,0.0,1.0,0.0,['comment-2804'],"{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 2)}",1.0,"[datetime.datetime(2011, 2, 7, 6, 6)]",2011-02-07 06:06:00,2011-02-07 06:06:00,163.63636363636363,1.0,1.0,1.0,0.2,6.367361301105928e-06,0.0,0.1,0.302953215890113,0.23553928016093648,0.1,0.1,0.1,4.279652479414547e-11,0.0,0.1,0.18712097948174877,0.09090909090909091
Paul Delhanty,0,561.0,2.0,1.0,1.0,"['comment-2807', 'comment-2810', 'comment-2812', 'comment-2813']","{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 1)}",4.0,"[datetime.datetime(2011, 2, 7, 18, 4), datetime.datetime(2011, 2, 8, 5, 14), datetime.datetime(2011, 2, 9, 3, 40), datetime.datetime(2011, 2, 9, 6, 48)]",2011-02-07 18:04:00,2011-02-09 06:48:00,196.36363636363637,3.0,2.0,1.0,0.4,0.7729530904251521,0.0,0.18,0.33699272752610887,0.09975052608703372,0.2,0.2,0.1,0.08634402075118576,0.0,0.4266666666666667,0.20945322401901678,0.03206948080536412
Sakura-chan,9,143.0,1.0,0.0,0.0,['comment-10604'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2011, 2, 6, 18, 54)]",2011-02-06 18:54:00,2011-02-06 18:54:00,229.0909090909091,0.0,0.0,0.0,0.30000000000000004,0.29524180880967976,0.0,0.0,0.3578251268827191,0.10240587356901659,0.30000000000000004,0.0,0.5,0.3933752857962695,0.0,0.5818181818181819,0.3490886108772183,0.1002152882553932
Timothy Gowers,3,1752.0,5.0,5.0,0.0,"['comment-10608', 'comment-10611', 'comment-10616', 'comment-10644', 'comment-2794', 'comment-2795', 'comment-2797', 'comment-2801', 'comment-2808', 'comment-2814']","{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 3), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 0), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 1)}",10.0,"[datetime.datetime(2011, 2, 6, 11, 0), datetime.datetime(2011, 2, 6, 14, 39), datetime.datetime(2011, 2, 6, 15, 18), datetime.datetime(2011, 2, 6, 17, 40), datetime.datetime(2011, 2, 6, 23, 2), datetime.datetime(2011, 2, 7, 8, 11), datetime.datetime(2011, 2, 7, 19, 6), datetime.datetime(2011, 2, 8, 15, 52), datetime.datetime(2011, 2, 9, 8, 1), datetime.datetime(2011, 2, 13, 18, 26)]",2011-02-06 11:00:00,2011-02-13 18:26:00,261.8181818181818,5.0,5.0,5.0,0.4,0.4777112816154724,0.022222222222222223,0.3,0.30635707707660653,0.07772748247619563,0.1,0.30000000000000004,0.8,0.44250162956297645,0.37777777777777777,0.8,0.41044358653613905,0.17348750858612946
Tom,1,123.0,1.0,0.0,0.0,['comment-2796'],"{(ParseResult(scheme='http', netloc='polymathprojects.org', path='/2011/02/05/polymath6-improving-the-bounds-for-roths-theorem/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2011, 2, 6, 15, 4)]",2011-02-06 15:04:00,2011-02-06 15:04:00,294.54545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2726578970276807,0.03533298304982064,0.0,0.0,0.2,0.10727637330313188,0.0,0.45714285714285713,0.23272580011039032,0.055774193756679365
valuevar,10,434.0,1.0,0.0,0.0,['comment-10615'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2011/02/05/polymath6-a-is-to-b-as-c-is-to/', params='', query='', fragment=''), 0)}",1.0,"[datetime.datetime(2011, 2, 8, 15, 31)]",2011-02-08 15:31:00,2011-02-08 15:31:00,327.27272727272725,0.0,0.0,0.0,0.2,0.29524180880967976,0.0,0.0,0.33055933717995106,0.072372642296778,0.2,0.0,0.5,0.3933752857962695,0.0,0.5818181818181819,0.3490886108772183,0.1002152882553932
