,color,word counts,level 1,level 2,comments,episodes,total comments,timestamps,first,last,angle,replies (all),replies (direct),replies (own excl.),interaction degree centrality,interaction eigenvector centrality,interaction betweenness centrality,interaction closeness centrality,interaction Katz centrality,interaction page rank,interaction in-degree,interaction out-degree,cluster degree centrality,cluster eigenvector centrality,cluster betweenness centrality,cluster closeness centrality,cluster Katz centrality,cluster page rank
Albert Atserias,18,1034.0,1.0,1.0,"['comment-43785', 'comment-43816']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 8), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 18)}",2.0,"[datetime.datetime(2013, 11, 8, 15, 5), datetime.datetime(2013, 11, 10, 11, 24)]",2013-11-08 15:05:00,2013-11-10 11:24:00,0.0,1.0,1.0,0.0,0.15000000000000002,0.30499614494560384,0.0,0.0,0.2359443469072498,0.1074848602889435,0.1,0.05,0.1,0.3109784364344525,0.0,0.2630434782608696,0.23986658682512127,0.06203725210159789
Anonymous,9,336.0,2.0,0.0,"['comment-43654', 'comment-44223']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 30), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 12)}",2.0,"[datetime.datetime(2013, 10, 28, 20, 3), datetime.datetime(2013, 11, 29, 4, 7)]",2013-10-28 20:03:00,2013-11-29 04:07:00,17.142857142857142,0.0,0.0,0.0,0.1,0.3049980065057021,0.0,0.0,0.2380393025094182,0.023816484013775546,0.1,0.0,0.05,0.19347485338553388,0.0,0.2520833333333333,0.21369935497790435,0.03669853654502832
Bhupinder Singh Anand,15,324.0,1.0,0.0,['comment-43742'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 6)}",1.0,"[datetime.datetime(2013, 11, 5, 9, 1)]",2013-11-05 09:01:00,2013-11-05 09:01:00,34.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.05,0.19347485338553388,0.0,0.2520833333333333,0.21369935497790435,0.03669853654502832
Boaz Barak,13,1001.0,1.0,0.0,['comment-43739'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 11)}",1.0,"[datetime.datetime(2013, 11, 5, 1, 38)]",2013-11-05 01:38:00,2013-11-05 01:38:00,51.42857142857143,0.0,0.0,0.0,0.1,0.3049980065057021,0.0,0.0,0.2380393025094182,0.023816484013775546,0.1,0.0,0.05,0.06534810955694256,0.0,0.18906250000000002,0.20060178801912934,0.04200919208287696
Bogdan,14,1807.0,2.0,3.0,"['comment-43827', 'comment-43843', 'comment-43848', 'comment-43850', 'comment-43943']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 9), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 17), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 4), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 5)}",5.0,"[datetime.datetime(2013, 11, 11, 18, 8), datetime.datetime(2013, 11, 13, 18, 13), datetime.datetime(2013, 11, 14, 12, 1), datetime.datetime(2013, 11, 14, 14, 1), datetime.datetime(2013, 11, 19, 18, 5)]",2013-11-11 18:08:00,2013-11-19 18:05:00,68.57142857142857,3.0,3.0,0.0,0.15000000000000002,0.30499614494560384,0.0,0.0,0.2359443469072498,0.1074848602889435,0.1,0.05,0.15000000000000002,0.2650623772285874,0.09473684210526316,0.30250000000000005,0.2588347361163331,0.09172735582938779
Chris Dent,2,732.0,1.0,2.0,"['comment-43710', 'comment-43717', 'comment-43730']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 25), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 1), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 0)}",3.0,"[datetime.datetime(2013, 11, 2, 14, 24), datetime.datetime(2013, 11, 3, 22, 45), datetime.datetime(2013, 11, 4, 15, 33)]",2013-11-02 14:24:00,2013-11-04 15:33:00,85.71428571428571,2.0,2.0,0.0,0.15000000000000002,0.30499614494560384,0.0,0.0,0.2359443469072498,0.1074848602889435,0.1,0.05,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
David Roberts,0,40.0,0.0,2.0,"['comment-43735', 'comment-43846']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 9), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 10)}",2.0,"[datetime.datetime(2013, 11, 4, 23, 46), datetime.datetime(2013, 11, 13, 23, 53)]",2013-11-04 23:46:00,2013-11-13 23:53:00,102.85714285714286,2.0,2.0,2.0,0.05,0.0,0.0,0.05,0.18854600608061717,0.01456663690172113,0.0,0.05,0.1,0.11693226175731385,0.0,0.20862068965517241,0.22567699516479275,0.06474009418036797
Dömötör Pálvölgyi,11,93.0,1.0,1.0,"['comment-43731', 'comment-43761']","{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 18), (ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 19)}",2.0,"[datetime.datetime(2013, 11, 4, 16, 38), datetime.datetime(2013, 11, 6, 19, 1)]",2013-11-04 16:38:00,2013-11-06 19:01:00,120.0,1.0,1.0,1.0,0.05,0.0,0.0,0.2485294117647059,0.18854600608061717,0.01456663690172113,0.0,0.05,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
E.L. Wisty,6,50.0,1.0,0.0,['comment-43614'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/10/24/what-i-did-in-my-summer-holidays/', params='', query='', fragment=''), 5)}",1.0,"[datetime.datetime(2013, 10, 25, 14, 5)]",2013-10-25 14:05:00,2013-10-25 14:05:00,137.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
Gareth Rees,17,32.0,1.0,0.0,['comment-43965'],"{(ParseResult(scheme='http', netloc='gowers.wordpress.com', path='/2013/11/03/dbd1-initial-post', params='', query='', fragment=''), 20)}",1.0,"[datetime.datetime(2013, 11, 20, 20, 46)]",2013-11-20 20:46:00,2013-11-20 20:46:00,154.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18854600608061717,0.01456663690172113,0.0,0.0,0.0,0.0,0.0,0.0,0.1772258527307446,0.011235955056180701
