Ord,title,url,research
0,"Polymath proposal: finding simpler unit distance graphs of chromatic number 5",https://polymathprojects.org/2018/04/10/polymath-proposal-finding-simpler-unit-distance-graphs-of-chromatic-number-5/,False
1,"Polymath16, first thread: Simplifying de Grey’s graph",https://dustingmixon.wordpress.com/2018/04/14/polymath16-first-thread-simplifying-de-greys-graph/,True
2,"Polymath16, second thread: What does it take to be 5-chromatic?",https://dustingmixon.wordpress.com/2018/04/22/polymath16-second-thread-what-does-it-take-to-be-5-chromatic/,True
3,"Polymath16, third thread: Is 6-chromatic within reach?",https://dustingmixon.wordpress.com/2018/05/01/polymath16-third-thread-is-6-chromatic-within-reach/,True
4,"Polymath16, fourth thread: Applying the probabilistic method",https://dustingmixon.wordpress.com/2018/05/05/polymath16-fourth-thread-applying-the-probabilistic-method/,True
5,"Polymath16, fifth thread: Human-verifiable proofs",https://dustingmixon.wordpress.com/2018/05/10/polymath16-fifth-thread-human-verifiable-proofs/,True
6,"Polymath16, sixth thread: Wrestling with infinite graphs",https://dustingmixon.wordpress.com/2018/05/29/polymath16-sixth-thread-wrestling-with-infinite-graphs/,True
7,"Polymath16, seventh thread: Upper bounds",https://dustingmixon.wordpress.com/2018/06/16/polymath16-seventh-thread-upper-bounds/,True
8,"Polymath16, eighth thread: More upper bounds",https://dustingmixon.wordpress.com/2018/06/24/polymath16-eighth-thread-more-upper-bounds/,True
9,"Polymath16, ninth thread: Searching for a 6-coloring",https://dustingmixon.wordpress.com/2018/07/02/polymath16-ninth-thread-searching-for-a-6-coloring/,True
10,"Polymath16, tenth thread: Open SAT instances",https://dustingmixon.wordpress.com/2018/08/28/polymath16-tenth-thread-open-sat-instances/,True
11,"Polymath16, eleventh thread: Chromatic numbers of planar sets",https://dustingmixon.wordpress.com/2018/09/14/polymath16-eleventh-thread-chromatic-numbers-of-planar-sets/,True
12,"Polymath16, twelfth thread: Year in review and future plans",https://dustingmixon.wordpress.com/2019/03/23/polymath16-twelfth-thread-year-in-review-and-future-plans/,True
13,"Polymath16, thirteenth thread: Bumping the deadline?",https://dustingmixon.wordpress.com/2019/07/08/polymath16-thirteenth-thread-bumping-the-deadline/,True
14,"Polymath16, fourteenth thread: Automated graph minimization?",https://dustingmixon.wordpress.com/2019/08/05/polymath16-fourteenth-thread-automated-graph-minimization/,True
15,"Polymath16, fifteenth thread: Writing the paper and chasing down loose ends",https://dustingmixon.wordpress.com/2019/12/12/polymath16-fifteenth-thread-writing-the-paper-and-chasing-down-loose-ends/,True
